strategy,final_equity,cum_return,max_drawdown,sharpe,trade_count,win_rate,model_id
rule,9856.639931787993,-0.01433600682120073,-0.21351997666349223,0.17907020275624708,9,0.1111111111111111,
ml,9836.755619843125,-0.016324438015687504,-0.21646209407264777,0.22521456411642893,39,0.3076923076923077,AIAUSDT_15m_RandomForest_20251125_193918
