model_name,precision,recall,accuracy,f1,train_size,test_size
LogReg,0.6158536585365854,0.13950276243093923,0.5919095776323617,0.22747747747747749,3919,1681
RandomForest,0.4484375,0.39640883977900554,0.5300416418798334,0.4208211143695015,3919,1681
GradBoost,0.46260869565217394,0.3674033149171271,0.5437239738251041,0.4095458044649731,3919,1681
