tp_atr_mult,sl_atr_mult,max_hold_bars,final_equity,cum_return,max_drawdown,sharpe,trade_count,win_rate,avg_pnl,avg_win,avg_loss,profit_factor,median_hold_time
1.0,0.5,16,10144.068754714359,0.014406875471435932,-1.0004995503048155,-0.2848393882700219,4,0.5,36.01718867858928,184.2603507812674,-112.22597342408883,1.6418690358333454,0 days 00:22:30
1.0,0.5,32,10144.068754714359,0.014406875471435932,-1.0004995503048155,-0.2848393882700219,4,0.5,36.01718867858928,184.2603507812674,-112.22597342408883,1.6418690358333454,0 days 00:22:30
1.0,0.5,96,10144.068754714359,0.014406875471435932,-1.0004995503048155,-0.2848393882700219,4,0.5,36.01718867858928,184.2603507812674,-112.22597342408883,1.6418690358333454,0 days 00:22:30
1.0,1.0,16,10144.068754714359,0.014406875471435932,-1.0004995503048155,-0.2848393882700219,4,0.5,36.01718867858928,184.2603507812674,-112.22597342408883,1.6418690358333454,0 days 00:22:30
1.0,1.0,32,10144.068754714359,0.014406875471435932,-1.0004995503048155,-0.2848393882700219,4,0.5,36.01718867858928,184.2603507812674,-112.22597342408883,1.6418690358333454,0 days 00:22:30
1.0,1.0,96,10144.068754714359,0.014406875471435932,-1.0004995503048155,-0.2848393882700219,4,0.5,36.01718867858928,184.2603507812674,-112.22597342408883,1.6418690358333454,0 days 00:22:30
1.0,1.5,16,10144.068754714359,0.014406875471435932,-1.0004995503048155,-0.2848393882700219,4,0.5,36.01718867858928,184.2603507812674,-112.22597342408883,1.6418690358333454,0 days 00:22:30
1.0,1.5,32,10144.068754714359,0.014406875471435932,-1.0004995503048155,-0.2848393882700219,4,0.5,36.01718867858928,184.2603507812674,-112.22597342408883,1.6418690358333454,0 days 00:22:30
1.0,1.5,96,10144.068754714359,0.014406875471435932,-1.0004995503048155,-0.2848393882700219,4,0.5,36.01718867858928,184.2603507812674,-112.22597342408883,1.6418690358333454,0 days 00:22:30
1.5,0.5,16,10059.247253883072,0.005924725388307239,-1.0004995503048155,-0.5513665207615382,10,0.4,5.924725388306507,185.58386548826888,-113.84803467833507,1.0867344117247488,0 days 00:15:00
1.5,0.5,32,10059.247253883072,0.005924725388307239,-1.0004995503048155,-0.5513665207615382,10,0.4,5.924725388306507,185.58386548826888,-113.84803467833507,1.0867344117247488,0 days 00:15:00
1.5,0.5,96,10059.247253883072,0.005924725388307239,-1.0004995503048155,-0.5513665207615382,10,0.4,5.924725388306507,185.58386548826888,-113.84803467833507,1.0867344117247488,0 days 00:15:00
1.5,1.0,16,10059.247253883072,0.005924725388307239,-1.0004995503048155,-0.5513665207615382,10,0.4,5.924725388306507,185.58386548826888,-113.84803467833507,1.0867344117247488,0 days 00:15:00
1.5,1.0,32,10059.247253883072,0.005924725388307239,-1.0004995503048155,-0.5513665207615382,10,0.4,5.924725388306507,185.58386548826888,-113.84803467833507,1.0867344117247488,0 days 00:15:00
1.5,1.0,96,10059.247253883072,0.005924725388307239,-1.0004995503048155,-0.5513665207615382,10,0.4,5.924725388306507,185.58386548826888,-113.84803467833507,1.0867344117247488,0 days 00:15:00
1.5,1.5,16,9476.228598164935,-0.052377140183506476,-1.0004995503048155,-0.5954949331039735,10,0.2,-52.37714018350734,184.260350781267,-111.53651292470093,0.4130045532839601,0 days 00:15:00
1.5,1.5,32,9476.228598164935,-0.052377140183506476,-1.0004995503048155,-0.5954949331039735,10,0.2,-52.37714018350734,184.260350781267,-111.53651292470093,0.4130045532839601,0 days 00:15:00
1.5,1.5,96,9476.228598164935,-0.052377140183506476,-1.0004995503048155,-0.5954949331039735,10,0.2,-52.37714018350734,184.260350781267,-111.53651292470093,0.4130045532839601,0 days 00:15:00
2.0,0.5,16,10144.068754714359,0.014406875471435932,-1.0004995503048155,-0.2868705492555097,4,0.5,36.01718867858941,184.26035078126768,-112.22597342408883,1.641869035833348,0 days 00:22:30
2.0,0.5,32,10144.068754714359,0.014406875471435932,-1.0004995503048155,-0.2868705492555097,4,0.5,36.01718867858941,184.26035078126768,-112.22597342408883,1.641869035833348,0 days 00:22:30
2.0,0.5,96,10144.068754714359,0.014406875471435932,-1.0004995503048155,-0.2868705492555097,4,0.5,36.01718867858941,184.26035078126768,-112.22597342408883,1.641869035833348,0 days 00:22:30
2.0,1.0,16,10144.068754714359,0.014406875471435932,-1.0004995503048155,-0.2868705492555097,4,0.5,36.01718867858941,184.26035078126768,-112.22597342408883,1.641869035833348,0 days 00:22:30
2.0,1.0,32,10144.068754714359,0.014406875471435932,-1.0004995503048155,-0.2868705492555097,4,0.5,36.01718867858941,184.26035078126768,-112.22597342408883,1.641869035833348,0 days 00:22:30
2.0,1.0,96,10144.068754714359,0.014406875471435932,-1.0004995503048155,-0.2868705492555097,4,0.5,36.01718867858941,184.26035078126768,-112.22597342408883,1.641869035833348,0 days 00:22:30
2.0,1.5,16,10144.068754714359,0.014406875471435932,-1.0004995503048155,-0.2868705492555097,4,0.5,36.01718867858941,184.26035078126768,-112.22597342408883,1.641869035833348,0 days 00:22:30
2.0,1.5,32,10144.068754714359,0.014406875471435932,-1.0004995503048155,-0.2868705492555097,4,0.5,36.01718867858941,184.26035078126768,-112.22597342408883,1.641869035833348,0 days 00:22:30
2.0,1.5,96,10144.068754714359,0.014406875471435932,-1.0004995503048155,-0.2868705492555097,4,0.5,36.01718867858941,184.26035078126768,-112.22597342408883,1.641869035833348,0 days 00:22:30
2.5,0.5,16,10144.068754714359,0.014406875471435932,-1.0004995503048155,-0.2868705492555097,4,0.5,36.01718867858941,184.26035078126768,-112.22597342408883,1.641869035833348,0 days 00:22:30
