timestamp,funding_rate
2025-09-16 16:00:00.000,6.472e-05
2025-09-17 00:00:00.001,6.972e-05
2025-09-17 08:00:00.000,8.441e-05
2025-09-17 16:00:00.003,6.303e-05
2025-09-18 00:00:00.006,4.941e-05
2025-09-18 08:00:00.002,8.928e-05
2025-09-18 16:00:00.000,4.208e-05
2025-09-19 00:00:00.000,-2.31e-06
2025-09-19 08:00:00.005,2.109e-05
2025-09-19 16:00:00.000,5.264e-05
2025-09-20 00:00:00.000,3.757e-05
2025-09-20 08:00:00.000,-2.7e-07
2025-09-20 16:00:00.002,-1.006e-05
2025-09-21 00:00:00.000,-5.322e-05
2025-09-21 08:00:00.000,2.563e-05
2025-09-21 16:00:00.000,3.742e-05
2025-09-22 00:00:00.005,6.665e-05
2025-09-22 08:00:00.003,1.743e-05
2025-09-22 16:00:00.000,4.838e-05
2025-09-23 00:00:00.000,7.062e-05
2025-09-23 08:00:00.001,7.083e-05
2025-09-23 16:00:00.000,7.478e-05
2025-09-24 00:00:00.003,5.794e-05
2025-09-24 08:00:00.001,6.267e-05
2025-09-24 16:00:00.002,4.886e-05
2025-09-25 00:00:00.000,-2.2e-06
2025-09-25 08:00:00.001,1.73e-05
2025-09-25 16:00:00.000,9.56e-05
2025-09-26 00:00:00.000,3.143e-05
2025-09-26 08:00:00.000,4.36e-05
2025-09-26 16:00:00.008,7.716e-05
2025-09-27 00:00:00.000,-1e-07
2025-09-27 08:00:00.010,3.425e-05
2025-09-27 16:00:00.003,7.821e-05
2025-09-28 00:00:00.000,3.314e-05
2025-09-28 08:00:00.000,4.976e-05
2025-09-28 16:00:00.000,5.261e-05
2025-09-29 00:00:00.000,2.312e-05
2025-09-29 08:00:00.002,1.304e-05
2025-09-29 16:00:00.001,3.2e-07
2025-09-30 00:00:00.002,2.353e-05
2025-09-30 08:00:00.005,5.893e-05
2025-09-30 16:00:00.000,2.584e-05
2025-10-01 00:00:00.000,3.355e-05
2025-10-01 08:00:00.000,3.457e-05
2025-10-01 16:00:00.000,0.0001
2025-10-02 00:00:00.000,7.784e-05
2025-10-02 08:00:00.013,0.0001
2025-10-02 16:00:00.000,9.543e-05
2025-10-03 00:00:00.006,9.926e-05
2025-10-03 08:00:00.006,0.0001
2025-10-03 16:00:00.000,0.0001
2025-10-04 00:00:00.001,0.0001
2025-10-04 08:00:00.000,0.0001
2025-10-04 16:00:00.000,8.312e-05
2025-10-05 00:00:00.000,8.648e-05
2025-10-05 08:00:00.003,0.0001
2025-10-05 16:00:00.009,9.566e-05
2025-10-06 00:00:00.004,7.672e-05
2025-10-06 08:00:00.002,9.708e-05
2025-10-06 16:00:00.004,5.831e-05
2025-10-07 00:00:00.000,0.0001
2025-10-07 08:00:00.003,8.608e-05
2025-10-07 16:00:00.000,6.194e-05
2025-10-08 00:00:00.000,2.542e-05
2025-10-08 08:00:00.006,0.0001
2025-10-08 16:00:00.002,5.396e-05
2025-10-09 00:00:00.001,1.344e-05
2025-10-09 08:00:00.000,5.35e-05
2025-10-09 16:00:00.000,1.455e-05
2025-10-10 00:00:00.005,7.85e-06
2025-10-10 08:00:00.002,3.879e-05
2025-10-10 16:00:00.014,1.013e-05
2025-10-11 00:00:00.000,0.0001
2025-10-11 08:00:00.003,0.0001
2025-10-11 16:00:00.000,4.67e-06
2025-10-12 00:00:00.004,-3.055e-05
2025-10-12 08:00:00.002,2.865e-05
2025-10-12 16:00:00.000,-0.00010915
2025-10-13 00:00:00.003,-3.942e-05
2025-10-13 08:00:00.002,2.519e-05
2025-10-13 16:00:00.003,-2.305e-05
2025-10-14 00:00:00.000,-4.041e-05
2025-10-14 08:00:00.000,7.12e-06
2025-10-14 16:00:00.000,-4.498e-05
2025-10-15 00:00:00.006,-5.425e-05
2025-10-15 08:00:00.002,3.973e-05
